2011,2,4,1100,8.9,8.9,253
2011,2,4,1200,18.1,19.6,231
2011,2,4,1300,14.2,14.9,242
2011,2,4,1900,28.5,52.2,261
2011,2,4,2000,30.4,46.3,256
2011,2,4,2100,30,51.9,259
2011,2,4,2200,26,42.7,275
2011,2,4,2300,29,49.2,270
2011,2,5,0,23.7,41.3,274
2011,2,5,100,22.6,36.4,280
2011,2,5,300,15.9,38.4,270
2011,2,5,400,10.6,19.8,315
2011,2,5,600,13.5,30.2,329
2011,2,5,700,13,35.8,325
2011,2,5,900,17.2,64.5,332
2011,2,5,1000,11.6,14.9,334
2011,2,6,1000,2.6,3,251
2011,2,6,1100,5,5.4,294
2011,2,6,1200,5.7,5.9,284
2011,2,6,1300,3.8,5.4,230
2011,2,6,1500,11.1,11.4,248
2011,2,7,1400,10,10,17
2011,2,8,1000,2.5,2.5,35
2011,2,8,1100,10.4,11.9,30
2011,2,8,1200,3.8,5.7,335
2011,2,8,1300,5.5,5.9,20
2011,2,8,1400,4,4.1,25
2011,2,8,1500,5.3,6.4,32
2011,2,8,1600,7.3,7.6,35
2011,2,8,1700,7.3,8,20
2011,2,9,1000,15.4,16.9,231
2011,2,9,1100,15.5,17,255
2011,2,9,1200,19.8,21.6,252
2011,2,9,1400,18.5,18.5,261
2011,2,9,1500,18.1,19.7,247
2011,2,9,1600,16.1,16.3,253
2011,2,10,1000,21.1,23.9,233
2011,2,10,1100,16.1,17.4,260
2011,2,10,1200,19.6,19.6,258
2011,2,10,1300,21.2,21.2,250
2011,2,10,1500,27,29.2,246
2011,2,10,1600,22.7,23.1,235
2011,2,11,1000,13.6,14.2,195
2011,2,11,1100,17,18.1,223
2011,2,11,1200,12.5,13.7,252
2011,2,11,1300,14,16.9,247
2011,2,11,1400,15.1,15.1,219
2011,2,11,1500,22.1,26.2,227
2011,2,11,1600,11.7,11.7,247
2011,2,11,1700,33.6,35.2,231
2011,2,12,0,32.2,32.2,242
2011,2,12,700,32.2,32.2,225
2011,2,12,900,43.6,47,238
2011,2,12,1000,43.8,43.8,244
2011,2,12,1100,38.1,44,240
2011,2,12,1200,42.1,55.3,238
2011,2,12,1300,42,60.9,238
2011,2,12,1400,44.1,67.2,231
2011,2,12,1500,48.6,70.2,218
2011,2,12,1600,46.6,65.9,214
2011,2,12,1700,47.9,65.6,214
2011,2,12,1800,46.4,65.4,208
2011,2,12,1900,51.3,66.2,210
2011,2,12,2000,57.1,75.6,210
2011,2,12,2100,61,82.5,207
2011,2,12,2200,65.8,89.6,211
2011,2,12,2300,74.9,100,215
2011,2,13,100,76.2,90.5,213
2011,2,13,200,75.6,89.7,214
2011,2,13,300,70.4,92.4,217
2011,2,13,400,71.3,93.6,219
2011,2,13,500,60.1,84.4,224
2011,2,13,1000,41.2,44.9,248
2011,2,13,1100,43.8,46.7,243
2011,2,13,1200,30.7,49.4,253
2011,2,13,1300,25,38.2,250
2011,2,13,1400,21.6,39.6,237
2011,2,13,1500,12,24.9,222
2011,2,13,1600,16.5,26.3,222
2011,2,13,1700,17.8,31.7,194
2011,2,13,1800,22.4,41.2,177
2011,2,13,1900,38.3,53.6,185
2011,2,13,2000,32.6,45.4,202
2011,2,13,2100,38.9,49,200
2011,2,13,2200,49.9,63.1,192
2011,2,13,2300,44.7,63.5,192
2011,2,14,0,36.9,52.6,199
2011,2,14,100,29.1,49.1,220
2011,2,14,200,27.6,41,214
2011,2,14,300,28.9,43.3,213
2011,2,14,400,29.5,43.5,212
2011,2,14,500,30.2,41.7,214
2011,2,14,600,36.1,48.8,210
2011,2,14,1000,32.8,40.6,208
2011,2,14,1100,31.2,47.8,208
2011,2,14,1200,36.7,64.1,211
2011,2,14,1300,56.2,72.1,208
2011,2,14,1400,49.5,69,213
2011,2,14,1500,43.6,61.7,213
2011,2,14,1600,52.2,67.7,211
2011,2,14,1700,51.5,68.8,214
2011,2,14,1800,56.3,69.5,211
2011,2,14,1900,57.4,74.7,213
2011,2,14,2000,33.5,60,226
2011,2,14,2100,37.3,65.2,217
2011,2,14,2200,47.7,59.8,213
2011,2,14,2300,47.7,56.4,210
2011,2,15,100,44.7,59.2,212
2011,2,15,200,49,59.9,210
2011,2,15,300,48.7,61.3,209
2011,2,15,400,52.3,66.8,209
2011,2,15,600,59.2,78.8,209
2011,2,15,700,63.9,82.5,210
2011,2,15,800,60.5,83,211
2011,2,15,1100,58.3,66.4,209
2011,2,15,1300,51.3,57.2,210
2011,2,15,1400,47.6,51.9,211
2011,2,15,1500,40.6,44.5,207
2011,2,15,1600,33.1,35.5,213
2011,2,15,1800,47,59.3,210
2011,2,15,1900,49.5,64.1,219
2011,2,15,2000,38.5,38.5,200
2011,2,16,100,50,51.1,204
2011,2,16,200,54,54,196
2011,2,16,500,62.6,64.9,207
2011,2,16,600,47.3,57.8,228
2011,2,16,700,65.6,69.5,228
2011,2,16,1000,54,64,211
2011,2,16,1200,48.4,52.8,225
2011,2,16,1400,34.7,40,211
2011,2,16,1500,36.7,46.8,199
2011,2,16,2100,22.9,30.1,298
2011,2,16,2300,20,25.6,241
2011,2,17,0,20.4,25.3,217
2011,2,17,100,35.4,63.8,244
2011,2,17,200,35.8,39.1,237
2011,2,17,300,17.2,18.9,261
2011,2,17,400,16.8,16.8,244
2011,2,17,500,21.1,22.5,222
2011,2,17,600,28.6,30.1,228
2011,2,17,700,15.6,19.1,221
2011,2,17,800,21.4,24.1,215
2011,2,17,900,21.2,25.4,231
2011,2,17,1000,19.9,22,207
2011,2,17,1100,27.5,29.1,214
