2009,10,27,1400,26,78,-10,0
2009,10,27,1500,26,81,-10,0
2009,10,27,1600,26,75,-10,0
2009,10,27,1700,25,88,-10,0
2009,10,27,1800,25,80,-10,0
2009,10,27,1900,25,82,-10,0
2009,10,27,2000,24,92,-10,0
2009,10,27,2100,24,93,-10,0
2009,10,27,2200,24,92,-10,0
2009,10,27,2300,25,82,-10,0
2009,10,27,2400,23,92,-10,0
2009,10,28,100,23,92,-10,0
2009,10,28,200,23,92,-10,0
2009,10,28,300,24,91,-10,0
2009,10,28,400,24,89,-10,0
2009,10,28,500,24,80,-10,0
2009,10,28,600,23,83,-10,0
2009,10,28,700,22,86,-10,0
2009,10,28,800,23,85,-10,0
2009,10,28,900,24,82,-10,0
2009,10,28,1000,27,72,-10,0
2009,10,28,1100,26,73,-10,0
2009,10,28,1200,27,70,-10,0
2009,10,28,1300,29,58,-10,0
2009,10,28,1400,30,60,-10,0
2009,10,28,1500,28,64,-10,0
2009,10,28,1600,29,59,-10,0
2009,10,28,1700,25,66,-10,0
2009,10,28,1800,21,70,-10,0
2009,10,28,1900,18,77,-10,0
2009,10,28,2000,17,85,-10,0
2009,10,28,2100,15,88,-10,0
2009,10,28,2200,15,83,-10,0
2009,10,28,2300,14,91,-10,0
2009,10,28,2400,12,91,-10,0
2009,10,29,100,13,90,-10,0
2009,10,29,200,10,88,-10,0
2009,10,29,300,11,93,-10,0
2009,10,29,400,12,91,-10,0
2009,10,29,500,12,91,-10,0
2009,10,29,600,13,91,-10,0
2009,10,29,700,14,92,-10,0
2009,10,29,800,12,90,-10,0
2009,10,29,900,15,92,-10,0
2009,10,29,1000,21,92,-10,0
2009,10,29,1100,22,88,-10,0
2009,10,29,1200,25,86,-10,0
2009,10,29,1300,25,83,-10,0
2009,10,29,1400,27,66,-10,0
2009,10,29,1500,29,55,-10,0
2009,10,29,1600,27,59,-10,0
2009,10,29,1700,25,64,-10,0
2009,10,29,1800,25,67,-10,0
2009,10,29,1900,24,69,-10,0
2009,10,29,2000,28,53,-10,0
2009,10,29,2100,27,59,-10,0
2009,10,29,2200,26,83,-10,0
2009,10,29,2300,25,91,-10,0
2009,10,29,2400,26,94,-10,0
2009,10,30,100,29,80,-10,0
2009,10,30,200,30,88,-10,0
2009,10,30,300,29,93,-10,0
2009,10,30,400,31,92,-10,0
2009,10,30,500,33,92,-10,0
2009,10,30,600,32,94,-10,0
2009,10,30,700,33,93,-10,0
2009,10,30,800,33,92,-10,0
2009,10,30,900,33,93,-10,0
2009,11,3,1900,29,65,4,6
2009,11,3,2000,29,62,5,7
2009,11,3,2100,28,70,5,8
2009,11,3,2200,26,70,4,8
2009,11,3,2300,27,70,1,8
2009,11,3,2400,27,70,4,6
2009,11,4,100,26,71,4,8
2009,11,4,200,26,70,2,8
2009,11,4,300,26,63,0,6
2009,11,4,400,26,57,3,6
2009,11,4,500,25,57,2,7
2009,11,4,600,25,55,0,7
2009,11,4,700,25,57,4,5
2009,11,4,800,29,51,0,8
2009,11,4,900,37,39,0,5
2009,11,4,1000,44,24,1,7
2009,11,4,1100,48,24,2,5
2009,11,4,1200,52,24,1,10
2009,11,4,1300,54,27,8,11
2009,11,4,1400,53,30,5,10
2009,11,4,1500,49,38,0,5
2009,11,4,1600,40,57,3,8
2009,11,4,1700,38,58,5,9
2009,11,4,1800,38,48,5,9
2009,11,4,1900,35,58,5,10
2009,11,4,2000,36,57,6,9
2009,11,4,2100,34,60,5,10
2009,11,4,2200,35,61,3,11
2009,11,4,2300,34,59,2,8
2009,11,4,2400,33,59,0,9
2009,11,5,100,33,57,3,9
2009,11,5,200,35,53,0,6
2009,11,5,300,35,53,3,8
2009,11,5,400,43,30,5,13
2009,11,5,500,43,31,4,22
2009,11,5,600,40,36,10,16
2009,11,5,700,40,36,4,22
2009,11,5,800,36,49,1,6
2009,11,5,900,42,41,0,4
2009,11,5,1000,54,25,5,12
2009,11,5,1100,59,19,2,24
2009,11,5,1200,62,16,9,21
2009,11,5,1300,60,17,9,14
2009,11,5,1400,61,17,7,17
2009,11,5,1500,58,22,1,20
2009,11,5,1600,57,17,10,19
2009,11,5,1700,56,19,4,23
2009,11,5,1800,53,22,11,19
2009,11,5,1900,54,19,4,15
2009,11,5,2000,53,22,5,18
2009,11,5,2100,54,21,4,21
2009,11,5,2200,53,22,2,25
2009,11,5,2300,53,23,2,24
2009,11,5,2400,53,23,7,23
2009,11,6,100,51,25,2,18
2009,11,6,200,52,23,14,31
2009,11,6,300,53,21,27,32
2009,11,6,400,52,24,12,29
2009,11,6,500,52,21,3,30
2009,11,6,600,51,24,4,23
2009,11,6,700,50,24,17,30
2009,11,6,800,50,24,11,31
2009,11,6,900,49,26,9,30
2009,11,6,1000,52,24,6,43
2009,11,6,1100,51,28,24,47
2009,11,6,1200,49,32,22,47
2009,11,6,1300,37,78,7,46
2009,11,6,1400,34,87,4,13
2009,11,6,1500,33,90,3,9
2009,11,6,1600,34,91,1,8
2009,11,6,1700,35,81,8,12
2009,11,6,1800,34,82,3,9
2009,11,6,1900,33,86,6,9
2009,11,6,2000,31,85,6,8
2009,11,6,2100,34,62,2,13
2009,11,6,2200,31,85,3,11
2009,11,6,2300,29,77,4,7
2009,11,6,2400,29,84,3,6
2009,11,7,100,28,87,5,7
2009,11,7,200,30,70,2,8
2009,11,7,300,29,77,3,8
2009,11,7,400,28,85,3,7
2009,11,7,500,30,70,2,8
2009,11,7,600,28,82,5,9
2009,11,7,700,26,84,5,8
2009,11,7,800,27,85,3,7
2009,11,7,900,35,48,3,16
2009,11,7,1000,38,40,10,40
2009,11,7,1100,38,35,10,26
2009,11,7,1200,39,34,11,33
2009,11,7,1300,38,39,12,26
2009,11,7,1400,39,36,0,17
2009,11,7,1500,37,35,4,12
2009,11,7,1600,37,37,0,14
2009,11,7,1700,32,55,2,10
2009,11,7,1800,30,57,0,6
2009,11,7,1900,32,50,3,10
2009,11,7,2000,32,44,3,18
2009,11,7,2100,28,68,1,7
2009,11,7,2200,33,44,7,13
2009,11,7,2300,34,36,2,19
2009,11,7,2400,34,39,1,18
2009,11,8,100,33,42,6,14
2009,11,8,200,33,41,13,22
2009,11,8,300,32,41,7,23
2009,11,8,400,32,41,7,19
2009,11,8,500,31,39,0,14
2009,11,8,600,32,41,2,12
2009,11,8,700,33,40,7,21
2009,11,8,800,34,39,13,20
2009,11,8,900,35,38,7,20
2009,11,8,1000,36,39,6,21
